sep=,
Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Heart Rate
"2021-10-13 13:43:18.174",0.000000,1010.742554,892.110672,-0.028336,-0.955750,0.273727,0.994579,33.588312,-102.031943,232.060745,32.441398,52.530773,0.054930,HRDATA
"2021-10-13 13:43:18.274",0.000000,1010.742554,892.110672,-0.027740,-0.966660,0.283630,1.007793,33.588312,-102.031943,229.467026,32.551009,53.141842,0.055247,HRDATA
"2021-10-13 13:43:18.373",0.000000,1010.742554,892.110672,-0.027466,-0.967316,0.279861,1.007361,33.588312,-102.031943,228.269928,32.569512,50.992798,0.054404,HRDATA
"2021-10-13 13:43:18.474",0.000000,1010.742554,892.110672,-0.027222,-0.963470,0.280273,1.003778,33.588312,-102.031943,227.086700,32.504467,56.823524,0.054430,HRDATA
"2021-10-13 13:43:18.573",0.000000,1010.742554,892.110672,-0.028488,-0.959869,0.281174,1.000610,33.588312,-102.031943,224.794495,32.572417,54.036251,0.053805,HRDATA
"2021-10-13 13:43:18.674",0.000000,1010.742554,892.110672,-0.027039,-0.962082,0.277557,1.001684,33.588312,-102.031943,223.755875,32.621362,56.930962,0.052869,HRDATA
"2021-10-13 13:43:18.774",0.000000,1010.742554,892.110672,-0.028793,-0.955780,0.278931,0.996066,33.588312,-102.031943,222.753204,32.402818,55.666145,0.052944,HRDATA
"2021-10-13 13:43:18.872",0.000000,1010.742554,892.110672,-0.028320,-0.963928,0.281601,1.004619,33.588312,-102.031943,221.437286,32.626253,53.450947,0.052064,HRDATA
"2021-10-13 13:43:18.974",0.000000,1010.742554,892.110672,-0.027359,-0.964172,0.277313,1.003633,33.588312,-102.031943,220.235596,32.436149,51.569054,0.051327,HRDATA
"2021-10-13 13:43:19.072",0.000000,1010.742554,892.110672,-0.027115,-0.964813,0.280731,1.005191,33.588312,-102.031943,219.114288,32.248608,54.538818,0.051444,HRDATA
"2021-10-13 13:43:19.173",0.000000,1010.742554,892.120972,-0.026230,-0.964523,0.281586,1.005129,33.588312,-102.031943,218.010727,32.020773,55.595848,0.050762,HRDATA
"2021-10-13 13:43:19.274",0.000000,1010.742554,892.120972,-0.028839,-0.954391,0.276093,0.993943,33.588312,-102.031943,216.847229,32.237521,53.683067,0.050362,HRDATA
"2021-10-13 13:43:19.374",0.000000,1010.742554,892.120972,-0.026871,-0.970688,0.281754,1.011109,33.588312,-102.031943,215.742264,32.328670,51.296677,0.050776,HRDATA
"2021-10-13 13:43:19.474",0.000000,1010.742554,892.120972,-0.026947,-0.958618,0.278809,0.998704,33.588312,-102.031943,215.742264,32.328670,55.982826,0.050177,HRDATA
"2021-10-13 13:43:19.573",0.000000,1010.742554,892.120972,-0.027039,-0.973297,0.283188,1.014019,33.588312,-102.031943,214.701019,32.264905,54.136620,0.051173,HRDATA
"2021-10-13 13:43:19.673",0.000000,1010.742554,892.120972,-0.028763,-0.956085,0.278885,0.996345,33.588312,-102.031943,214.701019,32.264905,53.845142,0.051217,HRDATA
"2021-10-13 13:43:19.775",0.000000,1010.742554,892.120972,-0.027756,-0.958847,0.277939,0.998703,33.588312,-102.031943,213.665604,32.099961,52.021877,0.050710,HRDATA
"2021-10-13 13:43:19.874",0.000000,1010.742554,892.120972,-0.027664,-0.959091,0.277084,0.998698,33.588312,-102.031943,213.665604,32.099961,50.500275,0.051360,HRDATA
"2021-10-13 13:43:19.974",0.000000,1010.742554,892.120972,-0.026932,-0.964462,0.279175,1.004416,33.588312,-102.031943,213.665604,32.099961,54.964363,0.051382,HRDATA
"2021-10-13 13:43:20.073",0.000000,1010.742554,892.120972,-0.026291,-0.969833,0.281631,1.010240,33.588312,-102.031943,212.637054,31.931935,53.444256,0.051258,HRDATA
"2021-10-13 13:43:20.174",0.000000,1010.742554,892.120972,-0.026978,-0.960556,0.278244,1.000408,33.588312,-102.031943,212.637054,31.931935,53.812828,0.051810,HRDATA
"2021-10-13 13:43:20.273",0.000000,1010.742554,892.135544,-0.027679,-0.967178,0.280182,1.007324,33.588312,-102.031943,212.637054,31.931935,52.497952,0.051570,HRDATA
"2021-10-13 13:43:20.374",0.000000,1010.742554,892.135544,-0.027557,-0.956970,0.276260,0.996429,33.588312,-102.031943,212.637054,31.931935,55.565121,0.051515,HRDATA
"2021-10-13 13:43:20.474",0.000000,1010.742554,892.135544,-0.027496,-0.968719,0.283951,1.009852,33.588312,-102.031943,212.637054,31.931935,54.555164,0.051978,HRDATA
