Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,40.3,44.3,50.8,59,68.7,83.1,84.3,80.6,73,60.2,45.9,45.7
1981,41.7,44.7,51.2,64,68.1,79.6,81.7,76.2,70.5,59.6,53.3,43.9
1982,39.7,42.3,53.7,59.2,67.8,73.5,80.1,81,74.4,60.5,48.6,38.3
1983,32.5,42.8,50.9,54.8,65.9,74,80.6,80.4,74.6,63.5,52.4,31.7
1984,37.8,45.2,49.4,58,71.2,76.8,78.3,78.1,69.3,59.5,49.4,43.9
1985,35.6,41.8,52.3,63,70,75.5,79.7,81.5,71.4,61.2,49.8,37.9
1986,44.4,45.6,56.5,64.2,69.8,75.9,81.9,77.6,71.5,59.6,47,40.5
1987,38.2,44.9,48.1,58.9,68.7,76.1,79.5,79.4,70.9,63,49.8,39.5
1988,36.3,42.7,50.1,59.9,68.8,78,79.3,79.6,71.4,62.9,51.9,41.9
1989,44.6,38.4,54.5,64.8,73,74.5,81.4,79,69,64,51,35.3
1990,43.2,46.9,51.7,61.6,69.5,84.4,77.6,78.4,73.7,61.6,53.2,38.9
1991,37.8,48.9,54,63.8,73.6,77.6,79.6,77.9,68,62.2,45.2,43.1
1992,39.5,48.6,55,62.4,67.2,75.6,80.7,76.5,73.3,64.3,46.3,41.6
1993,39.3,42.2,51.1,60.3,69.3,78.4,82.2,79.9,72,59.3,45.5,43.1
1994,40.6,43.9,53.1,61.1,69.4,82.6,82.1,80.7,73.3,62.8,52,45.3
1995,42.4,48,51.7,60.5,68.1,76.9,82.7,80,69.6,61.4,51.5,42.5
1996,38.9,46.7,48,61.1,76.7,78.7,79.9,76.7,68.8,60.6,49.4,44
1997,38.1,41.2,53.7,53.8,66.9,74.5,80.6,79.5,74.6,60.5,45.5,37
1998,44,43.5,47.9,57.3,74.2,81.5,84,77,76.3,64.2,52.4,41.1
1999,43.5,50.3,50,59.8,67.1,75.4,80.5,81.4,70,60.4,54.4,40.9
2000,43,51.3,53.7,62.1,74.6,74,80.5,81.2,74.6,62.2,43.4,35.1
2001,36.8,44.4,48.3,64.3,70.1,80.7,85.3,79.7,71.9,61.6,52.4,42.5
2002,42.2,42.3,49,63,70.1,78.6,79.7,81.5,72.5,58.2,47.5,41.9
2003,42.1,43.3,53.2,63,71,74.4,82.5,81.5,70.8,65.2,51.8,43.5
2004,43.2,41.7,56.6,60.2,72.5,76.7,79.2,75.6,70.5,62.3,47.1,42.3
2005,43.5,46,50.5,59.4,69,79,79.4,77.1,75.9,61.9,52.2,41.4
2006,47.3,45.1,53.9,66.2,73.6,80.5,82.8,80.6,68.6,61,51.9,41.5
2007,36.4,43.6,55.6,55.8,66.7,74.6,77.5,79.6,74.2,65.1,50.7,41.8
2008,40.5,47.3,52.8,60.7,70.2,80.9,79.2,77.5,68.7,61.3,51.1,42.6
2009,42.1,49.4,55.8,61.2,69.2,79.5,81.1,80.9,70.4,58.1,52.7,36
2010,39.2,39.3,51.3,61,69.5,81,77.4,80.2,74.9,63.6,50.4,45.4
2011,39.8,41.8,55.6,65.4,70.8,85.9,86,86,71.8,62.3,50.7,37.9
2012,44.4,43.9,58.3,67.1,73.2,80.5,82,80.9,72.7,60.6,55.1,43
2013,40.9,43.6,53.4,58.9,70.1,80.5,79.2,80.5,75.1,62.1,48.5,38.7
2014,39.9,42.5,50.6,60.9,70.2,78.3,79,80.9,71.5,63.5,46.5,43.5
2015,39.1,43.6,52.5,62.1,66,77.3,81.2,80.3,76.4,64.1,50.4,43.4
2016,41.1,48.1,57.1,61.8,67.8,78.8,85.5,78.6,73.2,67.5,54.3,42
2017,43.8,52,59.2,62.8,69.6,80.7,81.1,76.4,72.3,62.2,54.5,42
2018,39.8,45.6,56.5,59.6,78,82.9,82.7,81.4,72.7,59.1,46.9,40.5
2019,42.5,45.1,49.1,62.1,67.8,76.9,82,84.4,77.6,57.1,48.1,44.8
2020,44.4,42.6,56.1,60.9,72.6,79.5,85.5,83.2,70.1,60.6,55.1,42
2021,40.4,36.8,54,59.2,67.7,79.4,79.2,79.5,75.9,65.4,52.6,51.6
